,location_name,lat,lon,location_type,M1,MyRepublic,Singtel,StarHub
1492,The Global Electronic Sports Company Pte Ltd,1.28654034226976,103.8489160514,Commercial,False,True,False,False
1210,Singapore National Eye Centre OLD - L01,1.28108025146011,103.835736519141,Healthcare,True,False,False,False
1080,SGH BLK 6 - L08,1.27993968247,103.830721777631,Healthcare,True,False,False,False
1440,McDonald's Hillion Mall,1.37834971260866,103.76274117629,F&B,False,False,True,False
811,Pasir Ris Atlantis RC,1.37755384115138,103.936383542733,Community,True,False,False,False
1783,Telok Blangah Crescent Market & Food Centre,1.27736689236513,103.818641703193,F&B,False,False,True,False
205,Changi General Hospital - Integrated Building L3,1.34071716408826,103.948068527847,Healthcare,True,False,False,False
1342,Ulu Pandan Zone A RC,1.30868247714515,103.786208825788,Community,True,False,False,False
1203,Singapore National Eye Centre NEW - L02,1.28108025146011,103.835736519141,Healthcare,True,False,False,False
1709,McDonald's Ang Mo Kio Park,1.37247443329906,103.844739982163,F&B,False,False,True,False
591,KFC Tiong Bahru Plaza,1.28646345318688,103.826935084287,F&B,True,False,False,False
246,Chien Chi Tow @ Jurong East,1.34318835662826,103.736785759882,Healthcare,True,False,False,False
